"filename", "language", "JSON", "C#", "XML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\7.7 Daglige Differencer.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\Program.cs", "C#", 0, 22, 0, 0, 0, 1, 5, 28
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\bin\Debug\net8.0\7.7 Daglige Differencer.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\bin\Debug\net8.0\7.7 Daglige Differencer.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\7.7 Daglige Differencer.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\7.7 Daglige Differencer.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\7.7 Daglige Differencer.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\Debug\net8.0\7.7 Daglige Differencer.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\Debug\net8.0\7.7 Daglige Differencer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\Debug\net8.0\7.7 Daglige Differencer.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\Debug\net8.0\7.7 Daglige Differencer.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.7 Daglige Differencer\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\08. Booleans\8.4 Terninger\Program.cs", "C#", 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\9.1+2 Epoch.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\Program.cs", "C#", 0, 25, 0, 0, 0, 0, 10, 35
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\bin\Debug\net8.0\9.1+2 Epoch.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\bin\Debug\net8.0\9.1+2 Epoch.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\9.1+2 Epoch.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\9.1+2 Epoch.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\9.1+2 Epoch.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\Debug\net8.0\9.1+2 Epoch.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\Debug\net8.0\9.1+2 Epoch.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\Debug\net8.0\9.1+2 Epoch.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\Debug\net8.0\9.1+2 Epoch.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.1+2 Epoch\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\9.3 Juleudsalg.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\Program.cs", "C#", 0, 18, 0, 0, 0, 0, 9, 27
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\bin\Debug\net8.0\9.3 Juleudsalg.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\bin\Debug\net8.0\9.3 Juleudsalg.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\9.3 Juleudsalg.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\9.3 Juleudsalg.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\9.3 Juleudsalg.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\Debug\net8.0\9.3 Juleudsalg.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\Debug\net8.0\9.3 Juleudsalg.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\Debug\net8.0\9.3 Juleudsalg.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\Debug\net8.0\9.3 Juleudsalg.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.3 Juleudsalg\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\9.4 Længden af en Måned.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\Program.cs", "C#", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\bin\Debug\net8.0\9.4 Længden af en Måned.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\bin\Debug\net8.0\9.4 Længden af en Måned.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\9.4 Længden af en Måned.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\9.4 Længden af en Måned.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\9.4 Længden af en Måned.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\Debug\net8.0\9.4 Længden af en Måned.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
